"","Year","Campbel.trialheat","Campbel.bump","Holbrook","Cuzan1.long","Cuzan2.long","Cuzan1.short","Cuzan2.short","Hibbs"
"1",1880,NA,NA,NA,55.8808150639857,56.085264989852,NA,NA,NA
"2",1884,NA,NA,NA,48.4740757362377,48.4711783585217,NA,NA,NA
"3",1888,NA,NA,NA,48.6157541184779,50.0485331113536,NA,NA,NA
"4",1892,NA,NA,NA,55.7419741108377,56.2033167982099,NA,NA,NA
"5",1896,NA,NA,NA,44.7423443125138,45.6732045311118,NA,NA,NA
"6",1900,NA,NA,NA,57.4080815826812,54.1604684673952,NA,NA,NA
"7",1904,NA,NA,NA,52.0207936798855,52.7707255785196,NA,NA,NA
"8",1908,NA,NA,NA,47.6331236820069,47.7215215991288,NA,NA,NA
"9",1912,NA,NA,NA,56.0934506871257,56.4068905287946,NA,NA,NA
"10",1916,NA,NA,NA,52.6718509107633,53.844484809157,51.8519448623662,53.1434096052013,NA
"11",1920,NA,NA,NA,39.8927914702562,40.2943231380718,36.328991194317,37.486178538411,NA
"12",1924,NA,NA,NA,58.438568155484,59.8971299896502,58.9103003496924,59.6093732509628,NA
"13",1928,NA,NA,NA,57.2295004448611,57.7853035823802,58.6549403647161,58.5214774347916,NA
"14",1932,NA,NA,NA,40.2298977323417,40.5132328065703,37.1856955638991,37.8094825119746,NA
"15",1936,NA,NA,NA,58.4420090824485,58.7041281386748,60.2600863564898,60.8342698516551,NA
"16",1940,NA,NA,NA,54.0555989990308,54.7189434999021,54.1626256634011,54.5808470309967,NA
"17",1944,NA,NA,NA,54.1587633770882,54.0824577057165,55.0506336722381,55.0044513635819,NA
"18",1948,51.43947819,51.03458319,NA,49.9471738224986,50.278911582186,49.4118865574246,49.6716114147234,NA
"19",1952,46.84678059,46.64998637,46.8451424218437,45.2849824469531,44.9028226215769,44.2556506284169,44.3588648393368,NA
"20",1956,54.04983186,55.14814024,58.9459981210974,55.8572631867957,57.1315290379142,55.9878079398016,56.7919628546784,NA
"21",1960,51.16205948,51.2541045,51.1770271323341,49.6708518477903,49.6112430177696,49.7616068339891,49.8414708289729,NA
"22",1964,61.12753056,61.0522303,63.325310774625,59.5419177924118,56.2013657543114,60.4127104700092,57.1866878003243,NA
"23",1968,48.46258001,50.14476915,48.9335402622659,50.0363638776578,49.927260262313,50.0031481091719,50.36309248436,NA
"24",1972,61.17759084,61.96986893,56.8861517417662,58.9456223673175,59.9518401957639,60.3507468842224,60.8771331369204,NA
"25",1976,47.79068263,48.71803254,50.7937257804156,51.4174440285855,51.2458143541021,52.1588512331711,52.0939411235712,52.04491
"26",1980,43.81858411,43.39354918,44.4254141050573,51.1402025333803,47.9886570398704,49.501549541567,46.8630596243388,45.44634
"27",1984,58.90867478,58.02370705,55.9912825829105,57.8975611944104,58.2906219384326,59.6488673234675,59.9795785360636,60.26128
"28",1988,53.41340827,52.03126499,50.5452713275215,53.665907933931,54.2403569302503,54.1360650472573,54.2326578246548,55.38381
"29",1992,46.84688538,50.07175278,46.6194579119376,47.832139702599,47.4879501998195,47.8681426654422,47.8182313891193,47.58874
"30",1996,57.19067624,57.62151396,55.63877346615,53.9768147657302,55.1357229780593,53.5189590784065,54.7240322543734,51.31661
"31",2000,52.9593524,48.4679373,51.6567728481569,52.3034324907895,53.0091848276954,51.8818138661915,52.4234951926973,56.61002
"32",2004,51.74738874,51.36006358,53.3738855160404,50.7267531345109,51.0899329104883,50.6753264193972,51.4479887385151,52.78629
"33",2008,NA,NA,45.7122449397626,49.0301757286125,45.1296787164372,48.145649374944,44.4607023697753,44.93629
